a,b,c,d,e,f,g,h,respuesta
10.0,0.9,0.1,0.9,0.1,0.9,0.1,0.1, 86.7100
10.0,0.9,0.1,0.9,0.1,0.9,0.1,0.9, 69.0500
10.0,0.9,0.1,0.9,0.1,0.9,0.9,0.1, 75.8300
10.0,0.9,0.1,0.9,0.1,0.9,0.9,0.9, 70.7700
10.0,0.9,0.1,0.9,0.9,0.1,0.1,0.1,152.7800
10.0,0.9,0.1,0.9,0.9,0.1,0.1,0.9,143.0700
10.0,0.9,0.1,0.9,0.9,0.1,0.9,0.1,122.3200
10.0,0.9,0.1,0.9,0.9,0.1,0.9,0.9,136.3800
10.0,0.9,0.1,0.9,0.9,0.9,0.1,0.1, 67.6800
10.0,0.9,0.1,0.9,0.9,0.9,0.1,0.9, 73.9400
10.0,0.9,0.1,0.9,0.9,0.9,0.9,0.1, 67.0900
10.0,0.9,0.1,0.9,0.9,0.9,0.9,0.9, 75.8800
10.0,0.9,0.9,0.1,0.1,0.1,0.1,0.1, 56.8200
10.0,0.9,0.9,0.1,0.1,0.1,0.1,0.9, 71.0100
10.0,0.9,0.9,0.1,0.1,0.1,0.9,0.1, 67.3700
10.0,0.9,0.9,0.1,0.1,0.1,0.9,0.9, 75.1500
10.0,0.9,0.9,0.1,0.1,0.9,0.1,0.1, 38.7800
10.0,0.9,0.9,0.1,0.1,0.9,0.1,0.9, 67.1600
10.0,0.9,0.9,0.1,0.1,0.9,0.9,0.1, 53.5000
10.0,0.9,0.9,0.1,0.1,0.9,0.9,0.9, 42.3200
10.0,0.9,0.9,0.1,0.9,0.1,0.1,0.1, 86.8500
10.0,0.9,0.9,0.1,0.9,0.1,0.1,0.9,130.6200
10.0,0.9,0.9,0.1,0.9,0.1,0.9,0.1, 57.4700
10.0,0.9,0.9,0.1,0.9,0.1,0.9,0.9, 67.9800
10.0,0.9,0.9,0.1,0.9,0.9,0.1,0.1, 34.2800
10.0,0.9,0.9,0.1,0.9,0.9,0.1,0.9, 53.3400
10.0,0.9,0.9,0.1,0.9,0.9,0.9,0.1, 44.4900
10.0,0.9,0.9,0.1,0.9,0.9,0.9,0.9, 43.7400
10.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1, 57.9800
10.0,0.9,0.9,0.9,0.1,0.1,0.1,0.9, 57.7200
10.0,0.9,0.9,0.9,0.1,0.1,0.9,0.1, 78.6600
10.0,0.9,0.9,0.9,0.1,0.1,0.9,0.9, 62.4300
10.0,0.9,0.9,0.9,0.1,0.9,0.1,0.1, 47.0900
10.0,0.9,0.9,0.9,0.1,0.9,0.1,0.9, 51.7300
10.0,0.9,0.9,0.9,0.1,0.9,0.9,0.1, 49.9600
10.0,0.9,0.9,0.9,0.1,0.9,0.9,0.9, 44.3700
10.0,0.9,0.9,0.9,0.9,0.1,0.1,0.1, 71.6100
10.0,0.9,0.9,0.9,0.9,0.1,0.1,0.9, 72.1800
10.0,0.9,0.9,0.9,0.9,0.1,0.9,0.1, 64.5800
10.0,0.9,0.9,0.9,0.9,0.1,0.9,0.9, 60.3000
10.0,0.9,0.9,0.9,0.9,0.9,0.1,0.1, 44.1500
10.0,0.9,0.9,0.9,0.9,0.9,0.1,0.9, 47.6900
10.0,0.9,0.9,0.9,0.9,0.9,0.9,0.1, 55.6900
10.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9, 45.7900
90.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1, 77.4200
90.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9, 95.2600
90.0,0.1,0.1,0.1,0.1,0.1,0.9,0.1, 68.6600
90.0,0.1,0.1,0.1,0.1,0.1,0.9,0.9, 81.6800
90.0,0.1,0.1,0.1,0.1,0.9,0.1,0.1,107.3000
90.0,0.1,0.1,0.1,0.1,0.9,0.1,0.9,117.0000
90.0,0.1,0.1,0.1,0.1,0.9,0.9,0.1,139.5200
90.0,0.1,0.1,0.1,0.1,0.9,0.9,0.9,125.6000
90.0,0.1,0.1,0.1,0.9,0.1,0.1,0.1, 82.8800
90.0,0.1,0.1,0.1,0.9,0.1,0.1,0.9, 74.3200
90.0,0.1,0.1,0.1,0.9,0.1,0.9,0.1, 79.7900
90.0,0.1,0.1,0.1,0.9,0.1,0.9,0.9, 83.1900
90.0,0.1,0.1,0.1,0.9,0.9,0.1,0.1,118.7900
90.0,0.1,0.1,0.1,0.9,0.9,0.1,0.9,102.0400
90.0,0.1,0.1,0.1,0.9,0.9,0.9,0.1,138.4400
90.0,0.1,0.1,0.1,0.9,0.9,0.9,0.9,123.9700
90.0,0.1,0.1,0.9,0.1,0.1,0.1,0.1, 80.1100
90.0,0.1,0.1,0.9,0.1,0.1,0.1,0.9, 84.8900
90.0,0.1,0.1,0.9,0.1,0.1,0.9,0.1, 81.8000
90.0,0.1,0.1,0.9,0.1,0.1,0.9,0.9, 76.1100
90.0,0.1,0.1,0.9,0.1,0.9,0.1,0.1, 98.4400
90.0,0.1,0.1,0.9,0.1,0.9,0.1,0.9,101.8700
90.0,0.1,0.1,0.9,0.1,0.9,0.9,0.1,107.5400
90.0,0.1,0.1,0.9,0.1,0.9,0.9,0.9,113.5400
90.0,0.1,0.1,0.9,0.9,0.1,0.1,0.1, 71.0900
90.0,0.1,0.1,0.9,0.9,0.1,0.1,0.9, 73.1900
90.0,0.1,0.1,0.9,0.9,0.1,0.9,0.1, 87.2400
90.0,0.1,0.1,0.9,0.9,0.1,0.9,0.9, 85.2200
90.0,0.1,0.1,0.9,0.9,0.9,0.1,0.1,115.1900
90.0,0.1,0.1,0.9,0.9,0.9,0.1,0.9,106.2200
90.0,0.1,0.1,0.9,0.9,0.9,0.9,0.1,120.6200
90.0,0.1,0.1,0.9,0.9,0.9,0.9,0.9,115.5400
90.0,0.1,0.9,0.1,0.1,0.1,0.1,0.1,100.9200
90.0,0.1,0.9,0.1,0.1,0.1,0.1,0.9, 91.5200
90.0,0.1,0.9,0.1,0.1,0.1,0.9,0.1, 89.6000
90.0,0.1,0.9,0.1,0.1,0.1,0.9,0.9, 95.9000
90.0,0.1,0.9,0.1,0.1,0.9,0.1,0.1,154.7900
90.0,0.1,0.9,0.1,0.1,0.9,0.1,0.9,165.0800
90.0,0.1,0.9,0.1,0.1,0.9,0.9,0.1,172.7800
90.0,0.1,0.9,0.1,0.1,0.9,0.9,0.9,171.7700
90.0,0.1,0.9,0.1,0.9,0.1,0.1,0.1, 97.2500
90.0,0.1,0.9,0.1,0.9,0.1,0.1,0.9, 92.9500
90.0,0.1,0.9,0.1,0.9,0.1,0.9,0.1, 88.8700
90.0,0.1,0.9,0.1,0.9,0.1,0.9,0.9, 90.7900
90.0,0.1,0.9,0.1,0.9,0.9,0.1,0.1,157.0400
90.0,0.1,0.9,0.1,0.9,0.9,0.1,0.9,162.4400
90.0,0.1,0.9,0.1,0.9,0.9,0.9,0.1,179.1900
90.0,0.1,0.9,0.1,0.9,0.9,0.9,0.9,158.6800
90.0,0.1,0.9,0.9,0.1,0.1,0.1,0.1, 95.7400
90.0,0.1,0.9,0.9,0.1,0.1,0.1,0.9, 91.7100
90.0,0.1,0.9,0.9,0.1,0.1,0.9,0.1, 99.9300
90.0,0.1,0.9,0.9,0.1,0.1,0.9,0.9, 88.2700
90.0,0.1,0.9,0.9,0.1,0.9,0.1,0.1,142.6300
90.0,0.1,0.9,0.9,0.1,0.9,0.1,0.9,165.3700
90.0,0.1,0.9,0.9,0.1,0.9,0.9,0.1,183.8600
90.0,0.1,0.9,0.9,0.1,0.9,0.9,0.9,166.5700
90.0,0.1,0.9,0.9,0.9,0.1,0.1,0.1, 85.6200
90.0,0.1,0.9,0.9,0.9,0.1,0.1,0.9, 92.8900
90.0,0.1,0.9,0.9,0.9,0.1,0.9,0.1, 95.3500
90.0,0.1,0.9,0.9,0.9,0.1,0.9,0.9, 94.8900
90.0,0.1,0.9,0.9,0.9,0.9,0.1,0.1,156.5800
90.0,0.1,0.9,0.9,0.9,0.9,0.1,0.9,153.7400
90.0,0.1,0.9,0.9,0.9,0.9,0.9,0.1,179.3200
90.0,0.1,0.9,0.9,0.9,0.9,0.9,0.9,155.2000
90.0,0.9,0.1,0.1,0.1,0.1,0.1,0.1,395.5000
90.0,0.9,0.1,0.1,0.1,0.1,0.1,0.9,528.1200
90.0,0.9,0.1,0.1,0.1,0.1,0.9,0.1,264.8100
90.0,0.9,0.1,0.1,0.1,0.1,0.9,0.9,278.8200
90.0,0.9,0.1,0.1,0.1,0.9,0.1,0.1,188.6400
90.0,0.9,0.1,0.1,0.1,0.9,0.1,0.9,120.1900
90.0,0.9,0.1,0.1,0.1,0.9,0.9,0.1,170.5800
90.0,0.9,0.1,0.1,0.1,0.9,0.9,0.9,131.5200
90.0,0.9,0.1,0.1,0.9,0.1,0.1,0.1,260.6500
90.0,0.9,0.1,0.1,0.9,0.1,0.1,0.9,416.7500
90.0,0.9,0.1,0.1,0.9,0.1,0.9,0.1,539.1900
90.0,0.9,0.1,0.1,0.9,0.1,0.9,0.9,356.9800
90.0,0.9,0.1,0.1,0.9,0.9,0.1,0.1,116.3300
90.0,0.9,0.1,0.1,0.9,0.9,0.1,0.9,106.1600
90.0,0.9,0.1,0.1,0.9,0.9,0.9,0.1,172.8100
90.0,0.9,0.1,0.1,0.9,0.9,0.9,0.9,135.8200
90.0,0.9,0.1,0.9,0.1,0.1,0.1,0.1,264.1400
90.0,0.9,0.1,0.9,0.1,0.1,0.1,0.9,246.3100
90.0,0.9,0.1,0.9,0.1,0.1,0.9,0.1,278.5300
90.0,0.9,0.1,0.9,0.1,0.1,0.9,0.9,308.6300
90.0,0.9,0.1,0.9,0.1,0.9,0.1,0.1,128.9100
90.0,0.9,0.1,0.9,0.1,0.9,0.1,0.9,128.1700
90.0,0.9,0.1,0.9,0.1,0.9,0.9,0.1,135.9000
90.0,0.9,0.1,0.9,0.1,0.9,0.9,0.9,131.9900
90.0,0.9,0.1,0.9,0.9,0.1,0.1,0.1,285.1300
90.0,0.9,0.1,0.9,0.9,0.1,0.1,0.9,294.2000
90.0,0.9,0.1,0.9,0.9,0.1,0.9,0.1,313.7600
90.0,0.9,0.1,0.9,0.9,0.1,0.9,0.9,304.0900
90.0,0.9,0.1,0.9,0.9,0.9,0.1,0.1,143.2700
90.0,0.9,0.1,0.9,0.9,0.9,0.1,0.9,116.8400
90.0,0.9,0.1,0.9,0.9,0.9,0.9,0.1,175.8000
90.0,0.9,0.1,0.9,0.9,0.9,0.9,0.9,185.3000
90.0,0.9,0.9,0.1,0.1,0.1,0.1,0.1,180.6200
90.0,0.9,0.9,0.1,0.1,0.1,0.1,0.9,253.3900
90.0,0.9,0.9,0.1,0.1,0.1,0.9,0.1,111.9200
90.0,0.9,0.9,0.1,0.1,0.1,0.9,0.9,103.6100
90.0,0.9,0.9,0.1,0.1,0.9,0.1,0.1, 80.4200
90.0,0.9,0.9,0.1,0.1,0.9,0.1,0.9, 84.2100
90.0,0.9,0.9,0.1,0.1,0.9,0.9,0.1, 90.3400
90.0,0.9,0.9,0.1,0.1,0.9,0.9,0.9, 93.8700
90.0,0.9,0.9,0.1,0.9,0.1,0.1,0.1,178.6300
90.0,0.9,0.9,0.1,0.9,0.1,0.1,0.9,252.7500
90.0,0.9,0.9,0.1,0.9,0.1,0.9,0.1,125.8400
90.0,0.9,0.9,0.1,0.9,0.1,0.9,0.9,131.4500
90.0,0.9,0.9,0.1,0.9,0.9,0.1,0.1,116.7500
90.0,0.9,0.9,0.1,0.9,0.9,0.1,0.9,117.8400
90.0,0.9,0.9,0.1,0.9,0.9,0.9,0.1, 93.1800
90.0,0.9,0.9,0.1,0.9,0.9,0.9,0.9, 92.3700
90.0,0.9,0.9,0.9,0.1,0.1,0.1,0.1,116.6200
90.0,0.9,0.9,0.9,0.1,0.1,0.1,0.9,146.0500
90.0,0.9,0.9,0.9,0.1,0.1,0.9,0.1,113.8600
90.0,0.9,0.9,0.9,0.1,0.1,0.9,0.9,111.2700
90.0,0.9,0.9,0.9,0.1,0.9,0.1,0.1,101.8400
90.0,0.9,0.9,0.9,0.1,0.9,0.1,0.9, 86.6600
90.0,0.9,0.9,0.9,0.1,0.9,0.9,0.1, 89.5500
90.0,0.9,0.9,0.9,0.1,0.9,0.9,0.9,107.1900
90.0,0.9,0.9,0.9,0.9,0.1,0.1,0.1,130.9400
90.0,0.9,0.9,0.9,0.9,0.1,0.1,0.9,134.2200
90.0,0.9,0.9,0.9,0.9,0.1,0.9,0.1,118.5500
90.0,0.9,0.9,0.9,0.9,0.1,0.9,0.9,114.9700
90.0,0.9,0.9,0.9,0.9,0.9,0.1,0.1,112.1200
90.0,0.9,0.9,0.9,0.9,0.9,0.1,0.9,103.5100
90.0,0.9,0.9,0.9,0.9,0.9,0.9,0.1, 68.2800
90.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9, 65.4000
